1,A,"유닉스 계열의 정적 라이브러리로, C/C++ 소스 파일에서 참조할 수 있는 기능과 헤더의 라이브러리가 포함되어 있다. 몇 가지 기능만 저장하거나 3D 모델링 엔진과 같은 기능의 전체 라이브러리를 포함할 수도 있으며 일반적으로 GNU ar 유틸리티에 의해 생성된다.",SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
2,A00 ,알집으로 작성된 스팬 아카이브 파일. .ALZ 파일 및 기타 분할 아카이브와 함께 압축된 ALZ 형식으로 저장된다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
3,A26,아타리 2600 에뮬레이터가 사용하는 게임 파일. 기존 아타리 게임을 컴퓨터에서 재생할 때 사용되는 오리지널 게임 카트리지의 사본을 저장한다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
4,A2B,Adlib Tracker II에서 액세스하는 악기 모임. Adlib Tracker II 프로그램에서 작곡하는 데 사용되는 악기들이 포함되어 있다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
5,A2C,Alice[1]가 사용하는 3D 모델. 압축된 3D 메쉬 형식으로 저장된다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
6,A2I,Adlib Tracker II에서 만든 파일. 구성 작성을 위해 Adlib Tracker II에서 액세스하는 악기 샘플이 들어 있다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
7,A2L,ASAM MCD-2MC(ASAP2) 작업 그룹에 의해 지정된 표준 파일 형식.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
8,A2M,TS-AudioToMIDI에 대한 기본 설정을 저장하는 구성 파일.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
9,A2THEME,"Aston[2]이 사용하는 Windows 테마. 시작 메뉴, 바탕 화면 및 패널 등의 시각적 설정을 저장하고 ZIP 압축 형식으로 저장한다.",SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
10,A2W,Alice로 만들어진 표준 ZIP 형식으로 압축된 3D 오브젝트를 포함하는 3차원 공간.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
11,A3D,AlternativaPlayer에서 만든 파일. 온라인 프로그램에서 내보낸 3D 모델이 들어 있다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
12,A4P,A4Desk Pro에서 생성한 프로젝트 파일. A4Desk Pro에 포함된 템플릿 중 하나에서 생성되며 플래시 애니메이션 및 대화형 웹 사이트 콘텐츠가 포함되어 있다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
13,A51,MCS-51 계열 컨트롤러의 PC 시뮬레이터용 소스코드 확장자.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
14,A52,아타리 5200 콘솔 에뮬레이터가 사용하는 게임 ROM 파일.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
15,A5W,"Alpha Five가 사용하는 서버측 웹페이지로, 웹 응용 프로그램 생성에 사용되는 RAD(Rapid Application Development) 도구이다. .ASP 또는 .PHP 페이지와 유사하지만 Alpha Five 구문을 사용하여 작성된다.",SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
16,A65,Authorware 6.5로 만들어진 Authware 프로젝트 형식.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
17,A6P,Authware 6.x 버전으로 만들어진 컴파일된 Authware 응용프로그램. Authorware 전체 버전 또는 무료 Authorware Player에서 재생이 가능하다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
18,A7P,Authware 7으로 만들어진 프로젝트 파일.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
19,A7R,Authware 7에 의해 만들어진 패키지 파일. 런타임 없이 패키지된 A7P 파일을 포함하고 있어 편집할 수 없다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
20,A8S,Anim8or용으로 작성된 스크립트 파일. 일반 텍스트 형식으로 저장되며 ASL(Anim8or Scripting Language) 구문으로 작성된 소스 코드를 포함하고 있다.,SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
21,AA,"Audible이 오디오 북을 저장하기 위해 사용하는 디지털 오디오 형식. 구어 오디오를 저장하도록 설계되었으며 챕터 마커, 북마크 등을 지원한다.",SAFE,2024-07-06 01:32:13,2024-07-06 01:32:13,null,0
22,AA3,소니의 ATRAC[3] 압축을 사용하는 압축 오디오 파일.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
23,AAA,CryptoWall 랜섬웨어 3.0 버전으로 암호화된 파일. RSA-2048 암호화 형식으로 암호화되어 있기 때문에 단순 확장자를 변경하는 것만으로는 파일을 열 수 없다.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
24,AAB,개발자들이 구글 플레이에 앱을 업로드하기 위해 사용하는 안드로이드 앱 번들이다. 업로드 후 구글 플레이에서 다이내믹 딜리버리(Dynamic Delivery)라는 프로세스를 이용해 APK 파일로 앱 패키지 파일을 사용자 기기에 전달해 각 기기가 실행해야 하는 앱의 특정 부분만 담고 있다.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
25,AAC,MP3 파일과 유사하지만 몇 가지 성능 향상[4]을 제공하는 압축 오디오 파일. MPEG-2(또는 4) Advanced Audio Coding의 약자이다.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
26,AAE,iOS 버전의 Apple Photos 앱에서 이미지를 편집한 기록을 저장하는 파일. iOS에서 macOS로 편집 내용의 원본을 전송하는 데 사용되므로 필요한 경우 사용자가 이미지를 원래 형식으로 되돌릴 수 있다.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
27,AAF,"Avid Pro Tools, Avid Media Composer와 같은 Avid 오디오 편집 및 프로덕션 소프트웨어 제품에서 사용하는 파일. 오디오 및 비디오 파일에 대한 링크와 오디오 및 비디오 데이터에 적용되는 편집 결정이 포함되어 있다.",SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
28,AAM,"Authware에서 만든 파일. 영화와 이미지 등 Authware 응용 프로그램을 재생하는 데 필요한 리소스에 대한 참조가 들어 있으며 개발자 라이브러리, 파일 세그먼트 및 외부 파일의 이름과 위치도 포함되어 있다.",SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
29,AAO,미 육군이 출시한 멀티플레이어 슈터 게임인 America's Army (AA)가 사용하는 맵 파일.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
30,AAR,안드로이드 앱을 개발하는 데 사용되는 소프트웨어 라이브러리가 들어 있다. 구조적으로는 .APK 파일과 유사하지만 개발자가 여러 개의 다른 앱에서 사용할 수 있는 재사용 가능한[5] 컴포넌트를 저장할 수 있게 해준다.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
31,AAUI,어도비 애크러뱃에서 사용하는 사용자 인터페이스 구성 요소. 플러그인처럼 작동하며 사용자 지정 패널 또는 기타 인터페이스 구성 요소를 저장할 수 있다.,SAFE,2024-07-06 01:32:14,2024-07-06 01:32:14,null,0
